File,Classical,Linear-IQ,MLP-IQ,MLP-Phase,MLP-Combined,ResNet-Combined,CVNN,LSTM
TjFcUbSgAeIwOkV,0.5441,0.4381,0.5309,0.5596,0.5619,0.5619,0.5567,0.5490
VbGwEsYqUjNmKhF,0.5441,0.4794,0.5000,0.5026,0.5000,0.5000,0.5000,0.4853
iRzCpDvTxBfWgOn,0.5196,0.5000,0.5412,0.5440,0.5412,0.5515,0.5309,0.5392
kDhWvYmPzLxQqRn,0.5147,0.5000,0.5000,0.5233,0.5103,0.5155,0.5103,0.5343
pXnMoZtLyJrHdCa,0.5196,0.5052,0.4948,0.4767,0.4794,0.4845,0.4794,0.4804
Mean HW,0.5284,0.4845,0.5134,0.5212,0.5186,0.5227,0.5155,0.5176
